Identifier 1;Identifier 2;Identifier 3;Types;Categories
Project Number;Area Number;100;General Layout;Layout Drawings
Project Number;Area Number;110;Foundation Layout;Layout Drawings
Project Number;Area Number;120;Pavement Plan;Layout Drawings
Project Number;Area Number;130;Contingency Layout;Layout Drawings
Project Number;Area Number;140;Construction Site;Layout Drawings
Project Number;Area Number;150;ATEX Layout;Layout Drawings
Project Number;Area Number;160;Setting-Out Plan;Layout Drawings
Project Number;Area Number;400;Piping Layout;Layout Drawings
Project Number;Area Number;A;Area Arrangement Drawing;Area Drawings
Project Number;Area Number;E;Area Equipment Drawing;Area Drawings
Project Number;Area Number;F;Area Foundation Drawing;Area Drawings
Project Number;Area Number;P;Area Sub Terrain Piping Layout;Area Drawings
Project Number;Area Number;S;Area Sub Terrain Piping Layout;Area Drawings
Project Number;Area Number;B;Area Building Drawing;Area Drawings
Project Number;Area Number;PS;Project Specific Parts;Area Drawings
Project Number;Area Number;BM;Biomass Piping;Piping
Project Number;Area Number;AF;Anti Foam Piping;Piping
Project Number;Area Number;AA;Atmospheric Air Piping;Piping
Project Number;Area Number;BG;Biogas Piping;Piping
Project Number;Area Number;CD;Cable Ducts;Piping
Project Number;Area Number;CS;Condensate Piping;Piping
Project Number;Area Number;EL;Power Cable Piping;Piping
Project Number;Area Number;CO;Cooling Water Piping;Piping
Project Number;Area Number;EZ;Enzyme Piping;Piping
Project Number;Area Number;HW;Hot Water Piping;Piping
Project Number;Area Number;HO;Hydraulic Oil Piping;Piping
Project Number;Area Number;IC;Iron Chloride Piping;Piping
Project Number;Area Number;OA;Odour Piping;Piping
Project Number;Area Number;NT;Nutrient Piping;Piping
Project Number;Area Number;OG;Offgas Piping;Piping
Project Number;Area Number;PW;Potable Water Piping;Piping
Project Number;Area Number;PA;Pressurized Air Piping;Piping
Project Number;Area Number;RW;Rain Water Piping;Piping
Project Number;Area Number;SL;Sulphurous liquid Piping;Piping
Project Number;Area Number;TD;Technical Drainage Piping;Piping
Project Number;Area Number;TW;Technical Water Piping;Piping
Project Number;610;;Building;Equipment Drawings
Project Number;611;;Cyclon;Equipment Drawings
Project Number;612;;Receiving Tank;Tank Drawings
Project Number;613;;Mixing Tank;Tank Drawings
Project Number;614;;Pasteurisation Tank;Tank Drawings
Project Number;615;;Primary Digester;Tank Drawings
Project Number;616;;Gas Storage;Tank Drawings
Project Number;617;;Decanter;Equipment Drawings
Project Number;618;;Post Digester;Tank Drawings
Project Number;619;;Storage Tank;Tank Drawings
Project Number;620;;Pump Container;Equipment Drawings
Project Number;621;;Heat Exchangers;Equipment Drawings
Project Number;622;;Heat Storage;Tank Drawings
Project Number;623;;Desulphurisation;Tank Drawings
Project Number;624;;Desulphurisation Container;Equipment Drawings
Project Number;625;;Flare;Equipment Drawings
Project Number;626;;Pre-filter;Tank Drawings
Project Number;627;;Biofilter;Tank Drawings
Project Number;628;;Biofilter Container;Equipment Drawings
Project Number;629;;Boiler Container;Equipment Drawings
Project Number;630;;GasMix;Tank Drawings
Project Number;631;;Condensate Well;Well Drawings
Project Number;632;;Gas Blowers;Equipment Drawings
Project Number;633;;Loading Tank;Tank Drawings
Project Number;634;;El Container;Equipment Drawings
Project Number;635;;BMR;Equipment Drawings
Project Number;636;;Ferric Chloride Tank;Tank Drawings
Project Number;637;;Gas Cooler System;Equipment Drawings
Project Number;638;;CHP;Equipment Drawings
Project Number;639;;Chimney;Equipment Drawings
Project Number;640;;Separation Room;Equipment Drawings
Project Number;641;;Weighbridge;Equipment Drawings
Project Number;642;;Trafo;Equipment Drawings
Project Number;643;;Fat Tank;Tank Drawings
Project Number;644;;Industry Tank;Tank Drawings
Project Number;645;;Anti-Foam Tank;Tank Drawings
Project Number;646;;Bleaching Earth Tank;Tank Drawings
Project Number;647;;Drainage Well;Well Drawings
Project Number;648;;Water Tank;Tank Drawings
Project Number;649;;Liquid Tank;Tank Drawings
Project Number;650;;Active Carbon Filter;Equipment Drawings
Project Number;651;;Dry Well;Well Drawings
Project Number;652;;Separation Tank;Tank Drawings
Project Number;653;;Gas Upgrading;Equipment Drawings
Project Number;654;;Membrane;Tank Drawings
Project Number;655;;Industry Container;Equipment Drawings
Project Number;656;;Valve Chamber;Equipment Drawings
0000;700;;Equipment;Suppliers Parts
0000;701;;Valves;Suppliers Parts
0000;702;;Instruments;Suppliers Parts
0000;703;;Fittings;Suppliers Parts
0000;710;;PE Piping;Suppliers Parts
0000;715;;Press Fittings;Suppliers Parts
0000;720;;Logstor Piping;Suppliers Parts
0000;754;;Hilti;Suppliers Parts
0000;301;;Tank Connection;Basic Components
0000;304;;Building Components;Basic Components
0000;305;;Container Components;Basic Components
0000;306;;Electrical Components;Basic Components
0000;307;;Stone Trap;Basic Components
0000;310;;Sightglass;Basic Components
0000;311;;Nozzles;Basic Components
0000;312;;Pump Base;Basic Components
0000;314;;Agitator;Basic Components
0000;315;;Central Flange;Basic Components
0000;316;;Heat Exchangers;Basic Components
0000;321;;Straight Connection;Basic Components
0000;322;;Elbow Connection;Basic Components
0000;323;;Reduce;Basic Components
0000;324;;Tee Connection;Basic Components
0000;325;;Y Connection;Basic Components
0000;326;;Truck Connection;Basic Components
0000;341;;Pipe Support;Basic Components
0000;342;;Pipe Holders;Basic Components
0000;343;;Support Brackets;Basic Components
0000;344;;Consoles;Basic Components
0000;345;;Post;Basic Components
0000;353;;Hatches;Basic Components
0000;354;;Manholes;Basic Components
0000;355;;PE Components;Basic Components
0000;360;;Pump Pulsation Dampener;Basic Components
0000;361;;Condensate Tank;Basic Components
