Identifier 1;Identifier 2;Identifier 3;Types;Categories
Project Number;Area Number;100;General Layout (Situationsplan);Layout Drawings
Project Number;Area Number;110;Foundation Layout;Layout Drawings
Project Number;Area Number;120;Pavement Plan (Belægningsplan);Layout Drawings
Project Number;Area Number;130;Contingency layout/Emergency Plan (Beredskabsplan);Layout Drawings
Project Number;Area Number;140;Construction Site (Byggepladstegning);Layout Drawings
Project Number;Area Number;150;ATEX Layout;Layout Drawings
Project Number;Area Number;160;Setting-Out Plan (Afsætningsplan) ;Layout Drawings
Project Number;Area Number;400;Piping Layout (Ledningsplan);Layout Drawings
Project Number;Area Number;A;Area Arrangement Drawing;Area Drawings
Project Number;Area Number;E;Area Equipment Drawings;Area Drawings
Project Number;Area Number;F;Area Foundation Drawings;Area Drawings
Project Number;Area Number;P;Area Sub Terrain Piping Layout;Area Drawings
Project Number;Area Number;S;Area Sub Terrain Piping Layout;Area Drawings
Project Number;Area Number;B;Area Building Drawings;Area Drawings
Project Number;Area Number or 6;PS;Project Specific Parts;Area Drawings
Project Number;Area Number or 6;BM;Biomass Piping;Piping
Project Number;Area Number or 6;AF;Anti Foam Piping;Piping
Project Number;Area Number or 6;AA;Atmospheric Air Piping;Piping
Project Number;Area Number or 6;BG;Biogas Piping;Piping
Project Number;Area Number or 6;CD;Cable Ducts;Piping
Project Number;Area Number or 6;CS;Condensate Piping;Piping
Project Number;Area Number or 6;EL;Power Cable Piping;Piping
Project Number;Area Number or 6;CO;Cooling Water Piping;Piping
Project Number;Area Number or 6;EZ;Enzyme Piping;Piping
Project Number;Area Number or 6;HW;Hot Water Piping;Piping
Project Number;Area Number or 6;HO;Hydraulic Oil Piping;Piping
Project Number;Area Number or 6;IC;Iron Chloride Piping;Piping
Project Number;Area Number or 6;OA;Odour Piping;Piping
Project Number;Area Number or 6;NT;Nutrient Piping;Piping
Project Number;Area Number or 6;OG;Offgas Piping;Piping
Project Number;Area Number or 6;PW;Potable Water Piping;Piping
Project Number;Area Number or 6;PA;Pressurized Air Piping;Piping
Project Number;Area Number or 6;RW;Rain Water Piping;Piping
Project Number;Area Number or 6;SL;Sulphurous liquid Piping;Piping
Project Number;Area Number or 6;TD;Technical Drainage Piping;Piping
Project Number;Area Number or 6;TW;Technical Water Piping;Piping
Project Number;610;A,E,F,P,S,B,D,BF,PS;Buildings;Equipment Drawings
Project Number;611;A,E,F,P,S,B,D,BF,PS;Cyclon;Equipment Drawings
Project Number;612;A,E,F,P,S,B,D,BF,PS;Receiving tank;Tank Drawings
Project Number;613;A,E,F,P,S,B,D,BF,PS;Mixing tank;Tank Drawings
Project Number;614;A,E,F,P,S,B,D,BF,PS;Pasteurisation tank;Tank Drawings
Project Number;615;A,E,F,P,S,B,D,BF,PS;Primary Digester;Tank Drawings
Project Number;616;A,E,F,P,S,B,D,BF,PS;Gas Storage;Tank Drawings
Project Number;617;A,E,F,P,S,B,D,BF,PS;Decanter;Equipment Drawings
Project Number;618;A,E,F,P,S,B,D,BF,PS;Post digester;Tank Drawings
Project Number;619;A,E,F,P,S,B,D,BF,PS;Storage Tank;Tank Drawings
Project Number;620;A,E,F,P,S,B,D,BF,PS;Pump-container;Equipment Drawings
Project Number;621;A,E,F,P,S,B,D,BF,PS;Heat-Exchangers;Equipment Drawings
Project Number;622;A,E,F,P,S,B,D,BF,PS;Heat storage;Tank Drawings
Project Number;623;A,E,F,P,S,B,D,BF,PS;Desulphurisation;Tank Drawings
Project Number;624;A,E,F,P,S,B,D,BF,PS;Desulphurisation-container;Equipment Drawings
Project Number;625;A,E,F,P,S,B,D,BF,PS;Flare;Equipment Drawings
Project Number;626;A,E,F,P,S,B,D,BF,PS;Pre-filter;Tank Drawings
Project Number;627;A,E,F,P,S,B,D,BF,PS;Biofilter;Tank Drawings
Project Number;628;A,E,F,P,S,B,D,BF,PS;Biofilter-container;Equipment Drawings
Project Number;629;A,E,F,P,S,B,D,BF,PS;Boiler-container;Equipment Drawings
